Home Team Initials,Away Team Initials,weight,HomeGoalTotal
ALG,AUT,1,0
ALG,BEL,1,2
ALG,BRA,1,1
ALG,CHI,1,3
ALG,ENG,1,0
ALG,ESP,1,0
ALG,FRG,1,1
ALG,GER,2,4
ALG,KOR,1,2
ALG,NIR,1,1
ALG,RUS,1,1
ALG,SVN,1,0
ALG,USA,1,1
ANG,IRN,1,1
ANG,MEX,1,0
ANG,POR,1,0
ARG,BEL,4,4
ARG,BIH,1,2
ARG,BRA,4,2
ARG,BUL,3,3
ARG,CHI,1,3
ARG,CIV,1,2
ARG,CMR,1,0
ARG,CRO,1,1
ARG,ENG,5,8
ARG,ESP,1,2
ARG,FRA,2,3
ARG,FRG,4,5
ARG,GDR,1,1
ARG,GER,4,3
ARG,GRE,2,4
ARG,HAI,1,4
ARG,HUN,3,6
ARG,IRN,1,1
ARG,ITA,5,6
ARG,JAM,1,5
ARG,JPN,1,1
ARG,KOR,2,7
ARG,MEX,3,11
ARG,NED,6,9
ARG,NGA,4,6
ARG,NIR,1,3
ARG,PER,1,6
ARG,POL,2,5
ARG,ROU,2,4
ARG,SCG,1,6
ARG,SLV,1,2
ARG,SUI,3,4
ARG,SWE,2,4
ARG,TCH,1,6
ARG,URS,1,2
ARG,URU,2,5
ARG,USA,1,6
ARG,YUG,1,0
AUS,BRA,1,2
AUS,CHI,2,3
AUS,CRO,1,2
AUS,ESP,1,0
AUS,FRG,1,0
AUS,GDR,1,2
AUS,GER,1,4
AUS,GHA,1,1
AUS,ITA,1,1
AUS,JPN,1,3
AUS,NED,1,2
AUS,SRB,1,2
AUT,BRA,2,4
AUT,CHI,2,1
AUT,CMR,1,1
AUT,ENG,1,2
AUT,ESP,1,2
AUT,FRA,2,3
AUT,FRG,3,10
AUT,GER,1,3
AUT,HUN,1,2
AUT,ITA,4,5
AUT,NED,1,5
AUT,NIR,1,2
AUT,SCO,1,1
AUT,SUI,1,7
AUT,SWE,1,1
AUT,TCH,2,5
AUT,URS,1,2
AUT,URU,1,3
AUT,USA,1,2
BEL,BRA,1,2
BEL,ENG,2,5
BEL,ESP,2,2
BEL,FRA,2,7
BEL,GER,2,8
BEL,HUN,1,1
BEL,IRQ,1,1
BEL,ITA,1,4
BEL,JPN,1,2
BEL,KOR,3,3
BEL,KSA,1,0
BEL,MAR,1,1
BEL,MEX,3,4
BEL,NED,2,1
BEL,PAR,2,3
BEL,POL,1,3
BEL,RUS,2,4
BEL,SLV,2,4
BEL,TUN,1,1
BEL,URS,3,7
BEL,URU,1,3
BEL,USA,3,7
BIH,IRN,1,3
BIH,NGA,1,1
BOL,BRA,1,4
BOL,ESP,1,1
BOL,GER,1,1
BOL,KOR,1,0
BOL,URU,1,8
BOL,YUG,1,4
BRA,BUL,1,2
BRA,CHI,5,13
BRA,CHN,1,4
BRA,CIV,1,3
BRA,CMR,2,4
BRA,COL,2,4
BRA,CRC,2,3
BRA,CRO,2,4
BRA,DEN,1,3
BRA,ENG,4,5
BRA,ESP,5,11
BRA,FRA,4,6
BRA,GDR,1,1
BRA,GER,3,2
BRA,GHA,1,3
BRA,HUN,2,7
BRA,ITA,5,11
BRA,JPN,1,1
BRA,MAR,1,3
BRA,MEX,4,11
BRA,NED,6,7
BRA,NIR,1,0
BRA,NOR,1,1
BRA,NZL,1,4
BRA,PER,2,7
BRA,POL,4,13
BRA,POR,2,3
BRA,PRK,1,2
BRA,ROU,1,3
BRA,RUS,1,2
BRA,SCO,4,7
BRA,SUI,1,2
BRA,SWE,7,20
BRA,TCH,5,10
BRA,TUR,2,3
BRA,URS,2,4
BRA,URU,2,5
BRA,USA,1,1
BRA,WAL,1,1
BRA,YUG,4,5
BRA,ZAI,1,0
BUL,ENG,1,0
BUL,ESP,1,6
BUL,FRG,1,5
BUL,GER,1,2
BUL,GRE,1,4
BUL,HUN,2,9
BUL,ITA,2,2
BUL,KOR,1,1
BUL,MAR,1,1
BUL,MEX,2,3
BUL,NED,1,1
BUL,NGA,2,4
BUL,PAR,1,0
BUL,PER,1,3
BUL,POR,1,3
BUL,SWE,2,4
BUL,URU,1,1
CAN,FRA,1,0
CAN,HUN,1,2
CAN,URS,1,2
CHI,CMR,1,1
CHI,ENG,1,2
CHI,ESP,3,3
CHI,FRA,1,1
CHI,FRG,3,7
CHI,GDR,1,1
CHI,HON,1,0
CHI,ITA,3,6
CHI,MEX,1,3
CHI,NED,1,2
CHI,PRK,1,1
CHI,SUI,2,4
CHI,URS,2,4
CHI,USA,1,5
CHI,YUG,1,1
CHN,CRC,1,0
CHN,TUR,1,3
CIV,COL,1,2
CIV,GRE,1,2
CIV,JPN,1,2
CIV,NED,1,2
CIV,POR,1,0
CIV,PRK,1,0
CIV,SCG,1,3
CMR,COL,1,2
CMR,CRO,1,0
CMR,DEN,1,1
CMR,ENG,1,3
CMR,GER,1,0
CMR,IRL,1,1
CMR,ITA,2,4
CMR,JPN,1,1
CMR,KSA,1,1
CMR,MEX,1,1
CMR,NED,1,1
CMR,PER,1,0
CMR,POL,1,0
CMR,ROU,1,2
CMR,RUS,1,6
CMR,SWE,1,2
CMR,URS,1,0
COL,ENG,1,0
COL,FRG,1,1
COL,GRE,1,3
COL,JPN,1,1
COL,ROU,2,2
COL,SUI,1,0
COL,TUN,1,1
COL,UAE,1,0
COL,URS,1,4
COL,URU,3,6
COL,USA,1,2
COL,YUG,2,6
CRC,ECU,1,3
CRC,ENG,1,0
CRC,GER,1,4
CRC,GRE,2,2
CRC,ITA,1,0
CRC,NED,2,0
CRC,POL,1,1
CRC,SCO,1,1
CRC,SWE,1,1
CRC,TCH,1,4
CRC,TUR,1,1
CRC,URU,1,1
CRO,ECU,1,1
CRO,FRA,1,2
CRO,GER,1,0
CRO,ITA,1,1
CRO,JAM,1,1
CRO,JPN,2,0
CRO,MEX,2,1
CRO,NED,1,1
CRO,ROU,1,0
CUB,ROU,2,5
CUB,SWE,1,8
CZE,GHA,1,0
CZE,ITA,1,0
CZE,USA,1,0
DEN,ENG,1,0
DEN,ESP,1,1
DEN,FRA,2,4
DEN,FRG,1,2
DEN,JPN,1,1
